cod_areacarga;dat_referencia;din_referenciautc;val_cargaglobalcons;val_cargaglobal;val_consistencia
RR;2020-11-27;2020-11-27T19:00:00Z;162,3616;162,3616;0
RR;2020-11-27;2020-11-27T19:30:00Z;161,38;161,38;0
RR;2020-11-27;2020-11-27T20:00:00Z;158,1678;158,1678;0
RR;2020-11-27;2020-11-27T20:30:00Z;152,2167;152,2167;0
RR;2020-11-27;2020-11-27T21:00:00Z;146,3787;146,3787;0
RR;2020-11-27;2020-11-27T21:30:00Z;138,6784;138,6784;0
RR;2020-11-27;2020-11-27T22:00:00Z;135,2994;135,2994;0
RR;2020-11-27;2020-11-27T22:30:00Z;141,6224;141,6224;0
RR;2020-11-27;2020-11-27T23:00:00Z;148,5427;148,5427;0
RR;2020-11-27;2020-11-27T23:30:00Z;149,7491;149,7491;0
RR;2020-11-27;2020-11-28T00:00:00Z;151,0781;151,0781;0
RR;2020-11-27;2020-11-28T00:30:00Z;151,9124;151,9124;0
RR;2020-11-27;2020-11-28T01:00:00Z;154,2988;154,2988;0
RR;2020-11-27;2020-11-28T01:30:00Z;156,4145;156,4145;0
RR;2020-11-27;2020-11-28T02:00:00Z;156,7362;156,7362;0
RR;2020-11-27;2020-11-28T02:30:00Z;159,6291;159,6291;0
RR;2020-11-27;2020-11-28T03:00:00Z;162,5048;162,5048;0
RR;2020-11-28;2020-11-28T03:30:00Z;165,0005;165,0005;0
RR;2020-11-28;2020-11-28T04:00:00Z;165,4301;165,4301;0
RR;2020-11-28;2020-11-28T04:30:00Z;163,7719;163,7719;0
RR;2020-11-28;2020-11-28T05:00:00Z;161,8654;161,8654;0
RR;2020-11-28;2020-11-28T05:30:00Z;158,6433;158,6433;0
RR;2020-11-28;2020-11-28T06:00:00Z;155,0283;155,0283;0
RR;2020-11-28;2020-11-28T06:30:00Z;151,5449;151,5449;0
RR;2020-11-28;2020-11-28T07:00:00Z;147,5943;147,5943;0
RR;2020-11-28;2020-11-28T07:30:00Z;144,0869;144,0869;0
RR;2020-11-28;2020-11-28T08:00:00Z;139,8922;139,8922;0
RR;2020-11-28;2020-11-28T08:30:00Z;137,4496;137,4496;0
RR;2020-11-28;2020-11-28T09:00:00Z;135,3976;135,3976;0
RR;2020-11-28;2020-11-28T09:30:00Z;133,0614;133,0614;0
RR;2020-11-28;2020-11-28T10:00:00Z;124,3519;124,3519;0
RR;2020-11-28;2020-11-28T10:30:00Z;113,0341;113,0341;0
RR;2020-11-28;2020-11-28T11:00:00Z;109,2144;109,2144;0
RR;2020-11-28;2020-11-28T11:30:00Z;108,5963;108,5963;0
RR;2020-11-28;2020-11-28T12:00:00Z;110,3279;110,3279;0
RR;2020-11-28;2020-11-28T12:30:00Z;116,2003;116,2003;0
RR;2020-11-28;2020-11-28T13:00:00Z;119,6365;119,6365;0
RR;2020-11-28;2020-11-28T13:30:00Z;119,2761;119,2761;0
RR;2020-11-28;2020-11-28T14:00:00Z;120,7964;120,7964;0
RR;2020-11-28;2020-11-28T14:30:00Z;122,5006;122,5006;0
RR;2020-11-28;2020-11-28T15:00:00Z;124,7048;124,7048;0
RR;2020-11-28;2020-11-28T15:30:00Z;125,7713;125,7713;0
RR;2020-11-28;2020-11-28T16:00:00Z;124,9199;124,9199;0
RR;2020-11-28;2020-11-28T16:30:00Z;125,407;125,407;0
RR;2020-11-28;2020-11-28T17:00:00Z;127,2379;127,2379;0
RR;2020-11-28;2020-11-28T17:30:00Z;133,1558;133,1558;0
RR;2020-11-28;2020-11-28T18:00:00Z;140,7708;140,7708;0
RR;2020-11-28;2020-11-28T18:30:00Z;147,0418;147,0418;0
RR;2020-11-28;2020-11-28T19:00:00Z;148,8649;148,8649;0
RR;2020-11-28;2020-11-28T19:30:00Z;147,0412;147,0412;0
RR;2020-11-28;2020-11-28T20:00:00Z;142,4423;142,4423;0
RR;2020-11-28;2020-11-28T20:30:00Z;137,5521;137,5521;0
RR;2020-11-28;2020-11-28T21:00:00Z;132,585;132,585;0
RR;2020-11-28;2020-11-28T21:30:00Z;127,8084;127,8084;0
RR;2020-11-28;2020-11-28T22:00:00Z;131,2408;131,2408;0
RR;2020-11-28;2020-11-28T22:30:00Z;144,4985;144,4985;0
RR;2020-11-28;2020-11-28T23:00:00Z;149,3077;149,3077;0
RR;2020-11-28;2020-11-28T23:30:00Z;151,3852;151,3852;0
RR;2020-11-28;2020-11-29T00:00:00Z;152,373;152,373;0
RR;2020-11-28;2020-11-29T00:30:00Z;154,3078;154,3078;0
RR;2020-11-28;2020-11-29T01:00:00Z;156,6295;156,6295;0
RR;2020-11-28;2020-11-29T01:30:00Z;160,164;160,164;0
RR;2020-11-28;2020-11-29T02:00:00Z;163,5774;163,5774;0
RR;2020-11-28;2020-11-29T02:30:00Z;167,314;167,314;0
RR;2020-11-28;2020-11-29T03:00:00Z;170,0372;170,0372;0
RR;2020-11-29;2020-11-29T03:30:00Z;171,8139;171,8139;0
RR;2020-11-29;2020-11-29T04:00:00Z;172,9021;172,9021;0
RR;2020-11-29;2020-11-29T04:30:00Z;172,4005;172,4005;0
RR;2020-11-29;2020-11-29T05:00:00Z;170,8846;170,8846;0
RR;2020-11-29;2020-11-29T05:30:00Z;168,7024;168,7024;0
RR;2020-11-29;2020-11-29T06:00:00Z;165,3563;165,3563;0
RR;2020-11-29;2020-11-29T06:30:00Z;162,0081;162,0081;0
RR;2020-11-29;2020-11-29T07:00:00Z;158,8297;158,8297;0
RR;2020-11-29;2020-11-29T07:30:00Z;155,6996;155,6996;0
RR;2020-11-29;2020-11-29T08:00:00Z;152,7121;152,7121;0
RR;2020-11-29;2020-11-29T08:30:00Z;149,8049;149,8049;0
RR;2020-11-29;2020-11-29T09:00:00Z;147,1675;147,1675;0
RR;2020-11-29;2020-11-29T09:30:00Z;143,2252;143,2252;0
RR;2020-11-29;2020-11-29T10:00:00Z;134,313;134,313;0
RR;2020-11-29;2020-11-29T10:30:00Z;122,9261;122,9261;0
RR;2020-11-29;2020-11-29T11:00:00Z;117,9759;117,9759;0
RR;2020-11-29;2020-11-29T11:30:00Z;112,9923;112,9923;0
RR;2020-11-29;2020-11-29T12:00:00Z;109,4121;109,4121;0
RR;2020-11-29;2020-11-29T12:30:00Z;107,2624;107,2624;0
RR;2020-11-29;2020-11-29T13:00:00Z;104,2144;104,2144;0
RR;2020-11-29;2020-11-29T13:30:00Z;102,0687;102,0687;0
RR;2020-11-29;2020-11-29T14:00:00Z;100,4862;100,4862;0
RR;2020-11-29;2020-11-29T14:30:00Z;100,17;100,17;0
RR;2020-11-29;2020-11-29T15:00:00Z;100,4484;100,4484;0
RR;2020-11-29;2020-11-29T15:30:00Z;101,5758;101,5758;0
RR;2020-11-29;2020-11-29T16:00:00Z;103,6604;103,6604;0
RR;2020-11-29;2020-11-29T16:30:00Z;104,8093;104,8093;0
RR;2020-11-29;2020-11-29T17:00:00Z;107,1545;107,1545;0
RR;2020-11-29;2020-11-29T17:30:00Z;111,8544;111,8544;0
RR;2020-11-29;2020-11-29T18:00:00Z;117,4027;117,4027;0
RR;2020-11-29;2020-11-29T18:30:00Z;122,7932;122,7932;0
RR;2020-11-29;2020-11-29T19:00:00Z;124,3897;124,3897;0
RR;2020-11-29;2020-11-29T19:30:00Z;122,4659;122,4659;0
RR;2020-11-29;2020-11-29T20:00:00Z;120,984;120,984;0
RR;2020-11-29;2020-11-29T20:30:00Z;118,7989;118,7989;0
RR;2020-11-29;2020-11-29T21:00:00Z;115,346;115,346;0
RR;2020-11-29;2020-11-29T21:30:00Z;114,0977;114,0977;0
RR;2020-11-29;2020-11-29T22:00:00Z;116,8347;116,8347;0
RR;2020-11-29;2020-11-29T22:30:00Z;130,9969;130,9969;0
RR;2020-11-29;2020-11-29T23:00:00Z;136,6373;136,6373;0
RR;2020-11-29;2020-11-29T23:30:00Z;135,4784;135,4784;0
RR;2020-11-29;2020-11-30T00:00:00Z;133,4274;133,4274;0
RR;2020-11-29;2020-11-30T00:30:00Z;137,6009;137,6009;0
RR;2020-11-29;2020-11-30T01:00:00Z;141,9875;141,9875;0
RR;2020-11-29;2020-11-30T01:30:00Z;145,1664;145,1664;0
